date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2001-04-01,EUZ,EUR,Euro area,2.57,1.136363636,2.26160000072371,20309.194530968,1.98661938570776,0.2169,0,-0.19779,0.09892,0.44199
2001-04-01,HKG,HKD,Hong Kong,10.7,7.8,1.37179487179487,41719.4680523365,2.53221421249159,-0.42091,-0.52413,-0.61825,-0.47706,-0.3138
2001-04-01,HUN,HUF,Hungary,399,303,1.31683168316832,7317.71624421053,1.65555947008104,-0.14976,-0.30131,-0.43951,-0.2322,0.0075
2001-04-01,IDN,IDR,Indonesia,14700,10855,1.35421464762782,1116.68429714286,1.49753949207073,-0.03336,-0.20566,-0.36277,-0.12708,0.14543
2001-04-01,JPN,JPY,Japan,294,124,2.37096774193548,32163.7690514286,2.28870775116613,0.10736,-0.09002,-0.27,0,0.31219
2001-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,8187.58307964602,1.67772615771961,-0.24214,-0.37722,-0.5004,-0.31562,-0.10196
2001-04-01,MEX,MXN,Mexico,21.9,9.29,2.35737351991389,7222.38382465753,1.65313012816343,0.52432,0.25262,0.00486,0.37653,0.80626
2001-04-01,NZL,NZD,New Zealand,3.6,2.47,1.45748987854251,19075.7647111111,1.95518807642331,-0.20316,-0.34519,-0.47471,-0.28042,-0.05577
2001-04-01,PHL,PHP,Philippines,59,50.3,1.17296222664016,1824.32422508475,1.51557217547038,-0.1727,-0.32016,-0.45463,-0.25291,-0.01968
2001-04-01,POL,PLN,Poland,5.9,4.03,1.46401985111663,7400.5142779661,1.65766940010318,-0.05593,-0.2242,-0.37765,-0.14746,0.11869
2001-04-01,RUS,RUB,Russia,35,28.9,1.21107266435986,3417.246464,1.5561643767869,-0.1681,-0.31638,-0.4516,-0.24876,-0.01423
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,27912.7160242424,2.18037879695162,-0.10616,-0.26548,-0.41077,-0.19282,0.05916
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,5416.45601649485,1.60710993749678,-0.20642,-0.34787,-0.47686,-0.28336,-0.05964
2001-04-01,KOR,KRW,South Korea,3000,1325,2.26415094339623,10350.4182641067,1.73284136615681,0.3967,0.14775,-0.07927,0.26128,0.65503
2001-04-01,SWE,SEK,Sweden,24,10.28,2.33463035019455,25302.9407866667,2.11387428138488,0.18058,-0.02985,-0.22174,0.06611,0.39894
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,23405.5064888889,2.06552224440616,0.8846,0.54869,0.24237,0.70188,1.23318
2001-04-01,TWN,TWD,Taiwan,70,32.9,2.12765957446809,14836.75696,1.84716607019371,0.23126,0.0118,-0.18833,0.11189,0.459
2001-04-01,THA,THB,Thailand,55,45.5,1.20879120879121,3279.92513163636,1.5526650376276,-0.1678,-0.31613,-0.4514,-0.24848,-0.01387
2001-04-01,USA,USD,United States,2.24,1,2.24,36312.782,2.39443643318135,0,-0.17824,-0.34078,-0.09695,0.18496
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,29507.7225166667,2.32056082590587,-0.2714,-0.36776,-0.47099,-0.14778,-0.01244
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,4994.30943055556,1.85934342843213,-0.13264,-0.24735,-0.37024,0.01452,0.17564
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,22896.4184422111,2.19616980583794,0.3773,0.19514,0,0.61098,0.86682
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,26079.3303603604,2.25605597289759,-0.01447,-0.14482,-0.28445,0.15273,0.3358
2002-04-01,CHL,CLP,Chile,1400,655,2.13740458015267,4911.21778346429,1.85778006746364,0.20605,0.04654,-0.12434,0.41067,0.63471
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,1935.7945952381,1.80179777995288,-0.26222,-0.3598,-0.46433,-0.13705,0
2002-04-01,CZE,CZK,Czech Republic,56.28,34,1.65529411764706,10525.0618319119,1.96340397763695,-0.11623,-0.23312,-0.35833,0.03371,0.19788
2002-04-01,DNK,DKK,Denmark,24.75,8.38,2.95346062052506,24344.8382929293,2.22342167940001,0.39246,0.2083,0.01101,0.62871,0.88737
2002-04-01,EUZ,EUR,Euro area,2.67,1.123595506,2.37629999919206,21056.5762697324,2.16155336072798,0.15241,0,-0.16328,0.34794,0.562
2002-04-01,HKG,HKD,Hong Kong,11.2,8,1.4,41187.4510401786,2.54031374133592,-0.42228,-0.49869,-0.58054,-0.32427,-0.21695
2002-04-01,HUN,HUF,Hungary,459,272,1.6875,7729.28090882353,1.91080164124569,-0.07423,-0.19667,-0.32784,0.08284,0.2548
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,1257.0998884625,1.78902820742381,-0.00582,-0.13731,-0.27817,0.16285,0.34753
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,17226.5907916667,2.08949256983157,0.25684,0.09061,-0.08746,0.47007,0.70354
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,37509.351620229,2.47111067132034,-0.14505,-0.25813,-0.37926,0,0.15881
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,7422.27124007937,1.90502528525968,-0.27017,-0.3667,-0.4701,-0.14635,-0.01078
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,7921.89442465754,1.91442564514017,0.2922,0.1213,-0.06178,0.51144,0.75148
2002-04-01,NZL,NZD,New Zealand,3.6,2.24,1.60714285714286,21212.6327222222,2.1644895471588,-0.22165,-0.3246,-0.43488,-0.0896,0.05498
2002-04-01,NOR,NOK,Norway,35,8.56,4.08878504672897,23275.9324014286,2.20331032274435,0.94532,0.68804,0.41242,1.27537,1.63673
2002-04-01,PER,PEN,Peru,8.5,3.43,2.47813411078717,1852.19258823529,1.80022481661408,0.44302,0.25217,0.04771,0.68784,0.95589
2002-04-01,PHL,PHP,Philippines,65,51,1.27450980392157,1850.87778769231,1.80020007877433,-0.25784,-0.356,-0.46115,-0.13193,0.00593
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,8132.91027118644,1.91839588703264,-0.20199,-0.30754,-0.4206,-0.0666,0.08163
2002-04-01,RUS,RUB,Russia,39,31.2,1.25,3955.50957564103,1.83979851382164,-0.28778,-0.38198,-0.48289,-0.16694,-0.03465
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,27687.220030303,2.28630825504168,-0.16866,-0.27861,-0.3964,-0.02761,0.12682
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,6177.72385051547,1.88160925151395,-0.50422,-0.56979,-0.64003,-0.4201,-0.32801
2002-04-01,KOR,KRW,South Korea,3100,1304,2.37730061349693,11314.4586049032,1.97825639838857,0.25972,0.09312,-0.08537,0.47345,0.70745
2002-04-01,SWE,SEK,Sweden,26,10.4,2.5,25400.7758980769,2.2432890390545,0.16823,0.01372,-0.1518,0.36644,0.58344
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,25072.9993571429,2.23712195646052,0.77835,0.54315,0.29118,1.08007,1.4104
2002-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,15162.4670942857,2.05065629042708,0.02825,-0.10774,-0.25343,0.20271,0.39371
2002-04-01,THA,THB,Thailand,55,43.3,1.270207852194,3594.27488090909,1.83300191943488,-0.27358,-0.36966,-0.47258,-0.15034,-0.0154
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.002214358,1.7653760413389,0.79326,0.55609,0.30201,1.09751,1.43062
2002-04-01,USA,USD,United States,2.35,1,2.35,37101.453,2.46343609987677,0,-0.13226,-0.27394,0.16966,0.35542
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,32720.5051,2.61786441991444,-0.20317,-0.43957,-0.454,-0.09619,0.08761
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.48208469055375,4620.44228571429,1.88615550807171,-0.12034,-0.38132,-0.39725,-0.00224,0.20066
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,24809.3880301508,2.41186363974192,0.4594,0.02643,0,0.65534,0.99196
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,29310.6001875,2.52907252540864,-0.02313,-0.31294,-0.33063,0.10803,0.33335
2003-04-01,CHL,CLP,Chile,1400,716,1.95530726256983,5423.0325096,1.90705447983758,0.14781,-0.19272,-0.21351,0.30191,0.56666
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,2346.99406060606,1.82695626933979,-0.26735,-0.48471,-0.49798,-0.16899,0
2003-04-01,CZE,CZK,Czech Republic,56.57,28.9,1.95743944636678,11471.2098667138,2.06454541862494,0.06141,-0.25349,-0.27271,0.20391,0.44873
2003-04-01,DNK,DKK,Denmark,27.75,6.78,4.0929203539823,23288.0892691892,2.37224992541225,0.93148,0.35846,0.32347,1.1908,1.63631
2003-04-01,EGY,EGP,Egypt,8,5.92,1.35135135135135,1839.47853,1.81374086697229,-0.16591,-0.41337,-0.42847,-0.05393,0.13846
